,rain_tomorrow
18,0
219,0
381,0
297,1
67,0
268,0
325,1
114,0
95,0
251,0
365,0
124,0
385,1
194,0
264,1
405,0
277,0
302,0
80,0
267,1
116,0
16,0
70,0
163,1
7,0
19,0
145,1
386,0
380,0
137,0
226,0
410,1
418,1
321,0
64,1
84,0
308,0
388,1
412,0
167,0
115,0
17,0
284,0
24,0
186,0
382,0
409,1
177,0
265,1
335,1
154,1
391,1
191,0
125,0
209,1
370,1
285,1
235,0
413,1
36,1
148,0
314,1
165,1
243,0
212,1
63,1
117,0
175,0
395,1
6,0
311,0
408,1
160,0
10,0
207,0
109,0
86,0
343,1
364,0
407,0
225,0
349,1
178,0
384,1
94,0
206,0
173,0
156,0
245,0
97,0
73,0
129,1
101,0
152,0
327,0
102,1
247,0
72,0
23,0
37,1
153,0
128,0
353,0
196,0
71,0
337,1
312,1
236,0
341,0
210,1
131,0
155,0
316,1
91,1
366,0
234,0
367,1
218,0
333,1
351,1
197,0
257,1
306,1
344,0
305,0
135,0
38,0
11,0
293,1
199,0
239,0
118,1
193,0
350,1
280,0
123,0
400,0
300,0
416,0
324,1
394,0
174,0
340,1
144,0
164,1
215,0
211,1
424,0
2,1
220,0
121,1
403,0
256,1
26,0
126,0
330,0
240,1
404,0
287,1
339,0
419,0
133,0
78,0
347,1
29,0
88,0
357,0
113,0
269,1
320,1
139,1
263,0
198,0
313,1
48,1
399,1
69,0
90,1
260,1
200,0
169,0
12,0
35,1
28,0
180,0
151,0
390,1
383,0
237,0
100,0
55,1
258,1
322,0
328,0
192,0
45,1
334,1
222,0
273,1
360,0
4,1
275,0
417,0
106,0
242,0
371,1
229,0
181,0
104,0
231,0
65,1
51,0
32,0
286,1
216,0
387,1
27,0
406,0
246,0
279,0
310,0
172,0
369,0
147,0
66,1
143,1
134,0
8,0
68,1
323,1
14,0
166,1
44,0
398,0
348,0
232,0
301,0
375,1
254,1
223,0
228,0
317,1
396,1
270,1
422,1
397,0
326,1
291,0
217,0
171,0
47,1
233,0
204,0
332,1
278,0
111,0
57,1
1,0
53,1
85,0
221,0
34,1
282,1
96,0
368,1
56,1
374,1
283,1
259,0
13,0
338,1
93,0
295,1
176,0
352,0
425,0
140,1
329,0
415,0
342,1
262,1
58,0
393,1
54,1
185,0
203,0
429,1
201,0
179,0
62,0
52,1
373,0
253,0
271,0
21,0
336,1
170,0
298,1
205,0
315,1
372,0
276,0
331,1
159,1
136,0
161,0
389,0
105,0
402,1
92,1
356,0
230,0
127,0
431,0
20,0
202,0
75,0
112,0
292,1
377,0
108,0
